Team,Division,Conference,01-02 Salary,01-02 Win,01-02 Loss,02-03 Salary,02-03 Win,02-03 Loss,03-04 Salary,03-04 Win,03-04 Loss,04-05 Salary,04-05 Win,04-05 Loss,05-06 Salary,05-06 Win,05-06 Loss,06-07 Salary,06-07 Win,06-07 Loss,07-08 Salary,07-08 Win,07-08 Loss,08-09 Salary,08-09 Win,08-09 Loss,09-10 Salary,09-10 Win,09-10 Loss,10-11 Salary,10-11 Win,10-11 Loss,11-12 Salary,11-12 Win,11-12 Loss,12-13 Salary,12-13 Win,12-13 Loss
Atlanta Hawks           ,Southeast,Eastern,51179169,33,49,55620088,35,47,64372340,28,54,40684848,16,69,42944553,26,56,48456234,30,52,55501133,37,54,68168841,47,35,65046378,53,29,70099179,44,38,70628079,40,26,53089031,44,38
Boston Celtics          ,Atlantic,Eastern,47469112,49,33,52423200,44,38,60185916,36,46,64577356,45,37,56907300,33,49,62622805,24,58,74060475,66,16,79188973,62,20,83552174,50,32,81769284,56,26,78714199,39,27,60480464,41,40
Brooklyn Nets,Atlantic,Eastern,75172371,52,30,60350424,49,33,63273120,47,35,54729028,42,40,66030223,49,33,64372808,41,41,61366182,34,48,62666523,34,48,59366715,12,70,58494181,24,58,60857455,22,44,84486162,49,33
Charlotte Bobcats,Southeast,Eastern,0,0,0,0,0,0,0,0,0,23380124,18,64,33458932,26,56,41689161,33,49,52684792,32,50,62507774,35,47,68141416,44,38,65672517,34,48,57902024,7,59,56820187,21,61
Chicago Bulls           ,Central,Eastern,42592857,21,61,44468592,30,52,54983480,23,59,57276136,47,35,57166530,41,41,54754904,49,33,63084166,33,49,67705816,41,41,69219401,41,41,53658187,62,20,68904547,50,16,74809630,45,37
Cleveland Cavaliers     ,Central,Eastern,45649974,29,53,49610440,17,65,46183424,35,47,49175272,42,40,50836871,50,32,62992729,50,32,81137583,45,37,90833539,66,16,83398534,61,21,53928558,19,63,50975599,21,45,48998938,24,58
Dallas Mavericks        ,Southwest,West,57363430,57,25,72155176,60,22,79286720,52,30,91553496,58,24,97881086,60,22,88531846,67,15,101021688,51,31,94830398,50,32,88435117,55,27,84643496,57,25,76334980,36,30,65237894,41,41
Denver Nuggets          ,Northwest,West,54426938,27,55,49056548,17,65,39336148,43,39,45621812,49,33,55956608,44,38,65370484,45,37,82581955,50,32,69422003,54,28,74335812,53,29,67650513,50,32,58553173,38,28,65059814,57,25
Detroit Pistons         ,Central,Eastern,42355177,50,32,47777892,50,32,53317832,54,28,54574980,54,28,59619275,64,18,58767602,53,29,65898875,59,23,71084287,39,43,59223927,27,55,65020029,30,52,70631657,25,41,67009791,29,53
Golden State Warriors   ,Pacific,West,47681152,21,61,47737716,38,44,52934408,37,45,54943724,34,48,57115566,34,48,64985588,42,40,61019997,48,34,67416431,29,53,65154331,26,56,68367250,36,46,57197472,23,43,70699736,47,35
Houston Rockets         ,Southwest,West,49168169,28,54,50181240,43,39,55401432,45,37,60222300,51,31,69208809,34,48,63837566,52,30,69445134,55,27,72981100,53,29,69095315,42,40,72315654,43,39,57021755,34,32,50433454,45,37
Indiana Pacers          ,Central,Eastern,53211121,42,40,53347324,48,34,57774920,61,21,65792068,44,38,78681968,41,41,63118965,35,47,66175899,36,46,69668818,36,46,66673873,32,50,65057899,37,45,43958483,42,24,50530897,49,32
Los Angeles Clippers    ,Pacific,West,33849932,39,43,42768280,37,55,38351724,28,54,45170768,37,45,50931212,47,35,59057690,40,42,64577243,23,59,62174296,19,63,60998169,29,53,52988221,32,50,66738086,40,26,70382086,56,26
Los Angeles Lakers      ,Pacific,West,53458686,58,24,62758616,50,32,63360448,56,26,65059100,34,48,72866195,45,37,77099949,42,40,72611724,57,25,78245793,65,17,91378064,57,25,90432556,57,25,87392955,41,25,99140731,45,37
Memphis Grizzlies       ,Southwest,West,50920631,23,59,61009168,28,54,57378320,50,32,67010824,45,37,67518596,49,33,61773025,22,60,54062867,22,60,55093507,24,58,56294399,40,42,70022595,46,36,70593009,41,25,69821568,56,26
Miami Heat              ,Southeast,Eastern,52605146,36,46,57378320,25,57,46764008,42,40,58949072,59,23,59997698,52,30,63786777,44,38,74640045,15,67,69952802,43,39,73631563,47,35,64251508,58,24,76247648,46,20,82629170,66,16
Milwaukee Bucks         ,Central,Eastern,56224266,41,41,57995152,42,40,53167328,41,41,57137128,30,52,62563359,40,42,63498518,28,54,62252766,26,56,71088614,34,48,66247389,46,36,68479340,35,47,60192388,31,35,60678085,38,44
Minnesota Timberwolves  ,Northwest,West,54559632,50,32,58473004,51,31,70589120,58,24,70060920,44,38,61649061,33,49,66788931,32,50,69043895,22,60,65980450,24,58,62253360,15,67,53458231,17,65,56844339,26,40,51828198,31,51
New Orleans Pelicans       ,Southwest,West,49999445,44,38,44458880,47,35,49037564,41,41,56572880,18,64,41277617,38,44,53711107,39,43,62346671,56,26,66842294,49,33,69721295,37,45,67985781,46,36,65418702,21,45,58282885,27,55
New York Knicks         ,Atlantic,Eastern,85457889,30,52,93452376,37,45,89444816,39,43,102442544,33,49,126610272,23,59,117024192,33,49,96190114,23,59,96643646,32,50,85505986,29,53,66426486,42,40,63384503,36,30,72989028,54,28
Oklahoma City Thunder,Northwest,West,45431733,45,37,53167480,40,42,52347480,37,45,53821300,52,30,48900280,35,47,56931964,31,51,60861388,20,62,68341605,23,59,57969029,50,32,55922488,55,27,59501709,47,19,66307014,60,22
Orlando Magic           ,Southeast,Eastern,45796501,44,38,50042784,42,40,50209704,21,61,66445252,36,46,75365655,36,46,61013311,40,42,58107045,52,30,69672979,59,23,81239000,59,23,90395938,52,30,68533625,37,29,73312267,20,62
Philadelphia 76ers      ,Atlantic,Eastern,58073366,43,39,64822488,48,34,60411084,33,49,71951888,43,39,84690863,38,44,69140163,35,47,74038229,40,42,67242522,41,41,64474648,27,55,68417454,41,41,66082381,35,31,79211528,34,48
Phoenix Suns            ,Pacific,West,56187219,36,46,54544540,44,38,66550452,29,53,44256720,62,20,53626924,54,28,65399240,61,21,70702565,55,27,76001311,46,36,64796003,54,28,65966400,40,42,79943742,33,33,56446401,25,57
Portland Trailblazers   ,Northwest,West,83758700,49,33,105203088,50,32,82905616,41,41,83671312,27,55,59966214,21,61,75026386,32,50,73241335,41,41,79887114,54,28,56459362,50,32,74445767,48,34,64328752,28,38,71584641,33,49
Sacramento Kings        ,Pacific,West,54921012,61,21,70114984,59,23,67991504,55,27,61807688,50,32,62811975,44,38,63975244,33,49,63325268,38,44,68739818,17,65,67371803,25,57,44991883,24,58,48950236,22,44,54886455,28,54
San Antonio Spurs       ,Southwest,West,45719814,58,24,52789992,60,22,46082752,57,25,47149172,59,23,63034710,63,19,65327646,58,24,69839187,56,26,67993153,54,28,79130464,50,32,69366122,61,21,73431894,50,16,68386646,58,24
Toronto Raptors         ,Atlantic,Eastern,52282161,42,40,55067512,24,58,63033248,33,49,61703772,33,49,62123201,27,55,50581694,49,35,65593395,41,41,73197890,33,49,67819464,40,42,69984513,22,60,53692599,23,43,58286355,34,48
Utah Jazz               ,Northwest,West,52642362,44,38,49897044,47,35,34747676,42,40,43160808,26,56,57407402,41,41,61930567,51,31,64959089,54,28,65841407,48,34,71905244,53,29,75188482,39,43,59339136,36,30,65077841,43,29
Washington Wizards      ,Southeast,Eastern,54776087,37,45,46298624,37,45,45114084,25,57,49547056,45,37,54555947,42,40,62733705,41,41,65241923,43,39,70542500,19,63,72791114,26,56,58324988,23,59,54725620,20,46,62805919,29,53
